states,states_code,id,year,population
Michigan,MI,26,2018,9984072
Minnesota,MN,27,2018,5606249
Mississippi,MS,28,2018,2981020
Missouri,MO,29,2018,6121623
Montana,MT,30,2018,1060665
Nebraska,NE,31,2018,1925614
Nevada,NV,32,2018,3027341
New Hampshire,NH,33,2018,1353465
New Jersey,NJ,34,2018,8886025
New Mexico,NM,35,2018,2092741
New York,NY,36,2018,19530351
North Carolina,NC,37,2018,10381615
North Dakota,ND,38,2018,758080
Ohio,OH,39,2018,11676341
Oklahoma,OK,40,2018,3940235
Oregon,OR,41,2018,4181886
Pennsylvania,PA,42,2018,12800922
Rhode Island,RI,44,2018,1058287
South Carolina,SC,45,2018,5084156
South Dakota,SD,46,2018,878698
Tennessee,TN,47,2018,6771631
Texas,TX,48,2018,28628666
Utah,UT,49,2018,3153550
Vermont,VT,50,2018,624358
Virginia,VA,51,2018,8501286
Washington,WA,53,2018,7523869
West Virginia,WV,54,2018,1804291
Wisconsin,WI,55,2018,5807406
Wyoming,WY,56,2018,577601
Puerto Rico,PR,72,2018,3193354
Alabama,AL,1,2019,4903185
Alaska,AK,2,2019,731545
Arizona,AZ,4,2019,7278717
Arkansas,AR,5,2019,3017804
California,CA,6,2019,39512223
Colorado,CO,8,2019,5758736
Connecticut,CT,9,2019,3565287
Delaware,DE,10,2019,973764
District of Columbia,DC,11,2019,705749
Florida,FL,12,2019,21477737
Georgia,GA,13,2019,10617423
Hawaii,HI,15,2019,1415872
Idaho,ID,16,2019,1787065
Illinois,IL,17,2019,12671821
Indiana,IN,18,2019,6732219
Iowa,IA,19,2019,3155070
Kansas,KS,20,2019,2913314
Kentucky,KY,21,2019,4467673
Louisiana,LA,22,2019,4648794
Maine,ME,23,2019,1344212
Maryland,MD,24,2019,6045680
Massachusetts,MA,25,2019,6892503
Michigan,MI,26,2019,9986857
Minnesota,MN,27,2019,5639632
Mississippi,MS,28,2019,2976149
Missouri,MO,29,2019,6137428
Montana,MT,30,2019,1068778
Nebraska,NE,31,2019,1934408
Nevada,NV,32,2019,3080156
New Hampshire,NH,33,2019,1359711
New Jersey,NJ,34,2019,8882190
New Mexico,NM,35,2019,2096829
New York,NY,36,2019,19453561
North Carolina,NC,37,2019,10488084
North Dakota,ND,38,2019,762062
Ohio,OH,39,2019,11689100
Oklahoma,OK,40,2019,3956971
Oregon,OR,41,2019,4217737
Pennsylvania,PA,42,2019,12801989
Rhode Island,RI,44,2019,1059361
South Carolina,SC,45,2019,5148714
South Dakota,SD,46,2019,884659
Tennessee,TN,47,2019,6829174
Texas,TX,48,2019,28995881
Utah,UT,49,2019,3205958
Vermont,VT,50,2019,623989
Virginia,VA,51,2019,8535519
Washington,WA,53,2019,7614893
West Virginia,WV,54,2019,1792147
Wisconsin,WI,55,2019,5822434
Wyoming,WY,56,2019,578759
Puerto Rico,PR,72,2019,3193694
